,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,소재,재질,팔걸이,등받이,종류,인테리어
127,159,184634,"오에이데스크 아트 체어 2개 세트, 화이트",62500,146708439,True,30,4.5,320.0,False,,0,162.0,49 x 54 x 92 cm,화이트,NULL,ABS,NULL,NULL,NULL,NULL
128,160,184634,"의자 바퀴 5p, 혼합색상",4330,2281369875,True,0,4.5,229.0,False,,0,47.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,162,184634,"이케아 키즈 ANTILOP 안틸로프 유아용의자+안전벨트, 화이트/실버",30300,176491123,False,3,4.5,26.0,False,이케아,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,165,184634,"모노먼트 고무나무 사각 쿠션 벤치 910, 혼합색상",39900,1704136805,True,0,4.5,49.0,False,모노먼트,0,49.0,NULL,그레이,패브릭,NULL,NULL,등받이없음,벤치형의자,모던/심플
131,166,184634,"슐 위니 인테리어 포인트 체어 SL084 3p, 화이트",65600,2127223034,True,22,5.0,61.0,False,슐,0,61.0,NULL,화이트,플라스틱,NULL,NULL,등받이있음,식탁의자,NULL
132,167,184634,"오에이데스크 에펠체어, 카키",26900,159285263,True,27,4.0,663.0,False,,0,313.0,41 x 41 x 82 cm,그린,플라스틱,NULL,팔걸이없음,NULL,NULL,NULL
133,168,184634,"오에이데스크 고정식 크롬라운딩의자 2개 세트, 베이지(OD016)",31300,146708514,True,47,4.0,54.0,False,,0,17.0,NULL,베이지,기타,NULL,NULL,등받이있음,NULL,NULL
134,170,184634,"라로퍼니처 웨이브 체어 북유럽스타일 철제 카페 인테리어 의자 인테리어의자, 핑크",21900,1805435596,False,51,4.5,84.0,False,,착불배송,84.0,NULL,NULL,플라스틱,NULL,NULL,등받이있음,식탁의자,NULL
135,172,184634,"21세기트랜드 로라 등무 작업의자 009B, 블랙",24310,25908743,True,34,4.0,346.0,False,21세기트랜드,0,54.0,400 x 400 x 450~610 mm,블랙,NULL,철제,NULL,NULL,NULL,NULL
136,173,184634,"오에이데스크 인테리어 의자 OD185, 옐로우",46900,2285536574,True,19,4.5,48.0,False,,0,48.0,NULL,옐로우,패브릭,NULL,NULL,등받이있음,NULL,NULL
137,174,184634,"플렉스 체어 식탁의자 인테리어체어, 플렉스체어_샌드브라운",24900,1792243283,False,0,4.5,7.0,False,,0,7.0,NULL,브라운,NULL,플라스틱,NULL,NULL,NULL,모던/심플
138,175,184634,"TREE 스툴스 사각 접이식 의자 L, 퍼플",13500,277045655,False,0,4.5,199.0,False,,0,134.0,NULL,NULL,플라스틱,NULL,NULL,등받이없음,접이식의자,NULL
139,176,184634,"러버메이드 접이식 사다리(간이사다리) 화이트색, 그레이",41900,133656295,False,0,4.5,167.0,False,러버메이드,0,56.0,NULL,NULL,NULL,NULL,팔걸이없음,NULL,NULL,NULL
140,179,184634,"오피스퍼니처 비올렛 우드 인테리어의자 2p, 블랙",57760,43208903,True,7,4.0,966.0,False,,0,190.0,530 x 540 x 820 mm,블랙,NULL,PU,NULL,NULL,NULL,NULL
141,180,184634,"오에데스크 네트 체어 2개 세트, 화이트",26800,146708433,True,47,4.0,732.0,False,,0,254.0,38 x 46 x 78 cm,화이트,NULL,플라스틱,팔걸이없음,NULL,NULL,NULL
142,182,184634,"일룸 폴라아코 유아동소파, 아이보리",94050,28706368,True,5,5.0,173.0,False,일룸,0,41.0,NULL,NULL,NULL,인조가죽,NULL,NULL,NULL,NULL
143,183,184634,"베스트리빙 캔버라 2인 벤치, 내츄럴",48630,69736764,True,8,4.5,153.0,False,베스트리빙,0,118.0,NULL,베이지,우드,NULL,NULL,등받이없음,벤치형의자,내추럴
144,184,184634,"무중력의자 고강도 뉴 시리즈META3 캠핑의자, 네이비",34900,213578713,False,23,4.5,39.0,False,무중력의자,0,21.0,NULL,네이비,NULL,NULL,NULL,등받이있음,NULL,NULL
145,187,184634,"마켓플랜 손잡이 접이식 의자, 그레이",13900,5171822820,True,0,5.0,4.0,False,,0,4.0,33 x 70 cm,NULL,NULL,NULL,팔걸이없음,등받이없음,NULL,NULL
146,189,184634,"THEJOA 에이디체어 인테리어의자, 그레이",10900,4389477087,False,42,4.0,385.0,False,,착불배송,72.0,NULL,NULL,플라스틱,NULL,NULL,등받이있음,NULL,NULL
147,190,184634,"까사마루 아마빌레 스툴 큐브, 그레이",14170,21492988,True,28,4.0,830.0,False,까사마루,0,220.0,380 x 380 x 380mm,그레이,NULL,폴리에스터,NULL,NULL,NULL,NULL
148,193,184634,"가구느낌 앨리 골드 스툴, 딥핑크",29430,4394912385,True,6,4.5,75.0,False,가구느낌,0,47.0,NULL,핑크,패브릭,NULL,NULL,등받이없음,NULL,로맨틱
149,194,184634,"시디즈 필로 스트라이프 좌식의자, 베이지",87420,67510711,True,15,5.0,218.0,False,시디즈,0,62.0,NULL,베이지,메쉬,NULL,팔걸이없음,NULL,좌식의자,모던/심플
150,197,184634,"히다마리 코락 1인용 좌식의자, 그레이",67060,9003684,True,2,4.5,167.0,False,히다마리,0,95.0,600 x 520 x 700 mm,NULL,패브릭,패브릭,NULL,NULL,좌식의자,NULL
151,198,184634,"엠파이어 50mm 링 우레탄 브레이크 사무용의자바퀴 캐스터 A18RM11BKB 5p, 블랙",6880,180999728,True,0,4.5,26.0,False,,0,14.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,199,184634,"[퍼스트 퍼니처] 방석의자 홈바의자 수납의자 의자, 스툴_0251 [올화이트]",31700,102620555,False,0,4.5,695.0,False,,"3,500",113.0,NULL,화이트,인조/천연가죽,NULL,NULL,등받이없음,NULL,NULL
153,200,184634,"포스아트 풍원 뉴참숯 좌식의자, 패브릭 그레이",59000,2020134398,False,1,5.0,62.0,False,포스아트,0,56.0,NULL,그레이,NULL,NULL,팔걸이있음,NULL,NULL,NULL
154,201,184634,"에이스 디자인 암 카페의자 2p, 카키",43500,1816125308,True,0,4.5,82.0,False,,0,79.0,NULL,NULL,인조/천연가죽,NULL,NULL,등받이있음,식탁의자,NULL
155,202,184634,"비에프컴퍼니 핸들퀼팅 체어 2p, 블루",45800,150936832,True,17,4.5,383.0,False,,0,99.0,430 x 420 x 795 mm,블루,NULL,PU,NULL,NULL,NULL,NULL
156,204,184634,"블루밍홈 게이밍 좌식의자 PF10, 화이트",96660,192147949,True,16,4.5,123.0,False,블루밍홈,0,69.0,NULL,블랙,NULL,인조가죽,NULL,NULL,NULL,NULL
157,205,184634,"[MLC]룸앤홈 키즈 캠핑의자 2종 / 핑키래빗 리틀베어, 2. 리틀베어",12900,4310506862,False,0,4.5,6.0,False,,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,206,184634,"릴렉스 1인용 빈백 무인양품 마약소파 - 대형(110*100), 베이지",39990,265747840,False,0,4.0,5.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,207,184634,"2021 New 콤비체어 1+1 바른자세 허리 교정 슬림 와이드 등받이 커브 의자, (레드 + 레드)",56000,5309012909,False,36,5.0,8.0,False,,0,10.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,210,184634,"엘츠 말랑 소프트 의자, 핑크",17910,302089001,True,2,4.0,129.0,False,엘츠,0,59.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,211,184634,"리빙해피 데일리 접이식 삼각스툴, 그레이",9800,148750749,False,0,3.5,101.0,False,리빙해피,"3,000",13.0,NULL,NULL,플라스틱,NULL,NULL,NULL,접이식의자,NULL
162,212,184634,이케아 MARiUS 마리우스 스툴 화이트,7000,1631591352,False,0,4.5,23.0,False,이케아,"2,500",22.0,NULL,NULL,플라스틱,NULL,NULL,NULL,NULL,NULL
163,216,184634,"도리퍼니처 디올쿠션 블랙 벤치 철제 의자, 카키",39260,45100577,True,6,4.5,81.0,False,도리퍼니처,0,55.0,NULL,그린,NULL,철제,팔걸이없음,NULL,NULL,NULL
164,218,184634,"리빙스토리 에펠 고급형 인테리어 의자, 그레이",25500,112904404,False,0,4.0,477.0,False,,0,208.0,NULL,그레이,NULL,플라스틱,팔걸이없음,NULL,NULL,NULL
165,219,184634,"쇼신 워툼 수납형 스툴의자 S, 그레이",23510,1353237056,True,0,4.5,21.0,False,,0,21.0,NULL,NULL,기타,NULL,NULL,NULL,NULL,NULL
166,220,184634,"다용도 스텝 스툴 원목 화이트 미니 사다리 가정용 주방계단 이케아 베크벰 2단 의자, 사시나무 원목 (502.255.92)",22900,5237731531,False,0,4.5,3.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,221,184634,위드퍼니처 러블리 체어 투명 접이식 카페 플리아 폴딩 의자,53900,4875602261,True,15,5.0,7.0,False,위드퍼니처,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,222,184634,"테트라회의고정-블랙 의자 사무용의자 고정의자 회의용의자 다용도의자, 블랙",32390,100036,True,12,4.5,83.0,False,,0,53.0,NULL,블랙,플라스틱,PP,NULL,NULL,인테리어의자,
169,223,184634,"세븐뷰티 미용 피부 병원 보조의자, 미용의자ST_블랙",31500,56462179,False,0,4.5,137.0,False,세븐뷰티,0,37.0,높이 : 약 43.5-58cm,블랙,NULL,인조가죽,NULL,NULL,NULL,NULL
170,228,184634,"MAX A-CROYAL 무중력의자 프리미엄 의자 접이식의자 흔들의자 야외의자, 블랙AC로열의자 와 컵홀더",49660,22237377,False,7,4.0,93.0,False,MAX,0,15.0,특대,블랙,NULL,플라스틱,NULL,NULL,NULL,NULL
171,229,184634,모노먼트 조립식 고무나무 미니 스텝 스툴,27900,1552558299,False,0,4.5,20.0,False,모노먼트,0,20.0,NULL,NULL,우드,NULL,NULL,등받이없음,스툴/화장대의자,NULL
172,230,184634,"오에이데스크 에펠 체어 2p, 화이트",32000,211120107,False,0,4.5,113.0,False,,0,85.0,NULL,NULL,플라스틱,NULL,NULL,등받이있음,식탁의자,NULL
173,231,184634,"너와 원목 쿠션 화장대 보조 원형 현관 인테리어 의자 스툴, 네츄럴",9700,5050414155,False,34,3.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,232,184634,"시디즈 링고 일룸 고정다리 / S209G / 시디즈 링고 일룸 고정바퀴, 그레이 S209G XX",6800,2274946720,False,24,5.0,4.0,False,시디즈,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,233,184634,"지오리빙 등받이 패밀리의자, 그레이",6900,237088176,False,0,4.5,144.0,False,,0,75.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,내추럴
176,234,184634,"홈페리 접이식 다용도 스텝스툴, 네이처",39900,64075036,True,0,5.0,112.0,False,홈페리,0,101.0,NULL,NULL,우드,NULL,NULL,등받이없음,스툴/화장대의자,내추럴
177,235,184634,"오에이데스크 프리미엄 브로몰딩 접이식 의자, 브라운",26880,51410405,True,37,4.5,222.0,False,,0,92.0,45 x 50 x 88 cm,브라운,NULL,플라스틱,NULL,NULL,NULL,NULL
178,236,184634,"아이리스 1인 릴렉스체어 WAC-M, 그레이",94800,71716047,False,0,4.0,45.0,False,아이리스,0,11.0,NULL,그레이,기타,NULL,NULL,등받이있음,리클라이너,NULL
179,238,184634,"콩순이 삑삑이 유아의자, 민트",45100,68492446,False,0,4.5,303.0,False,콩순이,0,46.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,240,184634,"지오리빙 팔걸이 플라스틱의자, 팔걸이의자(블랙)",12500,1667158311,False,0,4.5,19.0,False,,0,19.0,NULL,블랙,플라스틱,NULL,NULL,등받이있음,야외/캠핑용의자,NULL
181,241,184634,"라탄 의자 2p, 커피",52000,1186537310,False,23,4.5,52.0,False,,0,47.0,NULL,브라운,기타,NULL,NULL,등받이있음,야외용의자,NULL
182,242,184634,"에코DIY 원목 원형스툴, 내츄럴",19900,1611560,True,0,4.5,122.0,False,,0,79.0,390 x 390 x 440mm,베이지,우드,원목,NULL,NULL,보조의자/스툴,NULL
183,243,184634,"한셀 다용도 접이식 키높이 발판 매직의자, 블랙",21000,4537041716,True,0,4.5,6.0,False,한셀,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,244,184634,"블루밍홈 신파스텔좌식의자 좌식의자, 모카ⓘP816360ⓟ",22900,895935,False,48,4.0,1339.0,False,블루밍홈,"3,500",129.0,560 x 520 x 620 mm,베이지,NULL,패브릭,NULL,NULL,NULL,NULL
185,245,184634,"접이식 접이식 휴대용 의자 발디딤대, 블루",4600,5064537118,False,17,3.5,4.0,False,부자오빠,"3,000",4.0,NULL,멀티(혼합)컬러,플라스틱,NULL,팔걸이없음,등받이없음,NULL,로맨틱
186,246,184634,"제스파 안락 의자, 혼합색상",39940,1048460,True,14,4.5,512.0,False,제스파,0,71.0,one size,블랙,NULL,NULL,NULL,NULL,NULL,NULL
187,247,184634,"한솔 라별 그라치아 빈백소파 S, 그레이",42500,2262653483,True,0,4.0,27.0,False,,0,27.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,248,184634,"펀타스틱 휴재용 접이식 좌식의자, 그레이",30380,258586893,False,0,4.5,68.0,False,펀타스틱,0,48.0,NULL,NULL,기타,NULL,NULL,등받이있음,좌식의자,NULL
189,249,184634,"아르브 쿠션 아기 의자 + 트레이 세트, 의자(라이트그레이), 트레이(오트밀)",35200,1354154074,False,0,4.5,192.0,False,아르브,0,170.0,NULL,NULL,NULL,NULL,NULL,NULL,아동용의자,NULL
190,250,184634,"원형나무의자.간편 접이식 간이, 월넷",7900,2330989170,False,0,4.0,5.0,False,안나,0,5.0,29.5X47cm,월넷,NULL,PVC,NULL,NULL,NULL,NULL
191,251,184634,"바디럽 마약빈백, 딥그레이",79000,235559353,True,11,4.5,73.0,False,바디럽,0,25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,252,184634,"오에이데스크 사각 의자 M, 블랙",13830,132115187,True,28,4.0,413.0,False,몽돌,0,178.0,M(43 x 40 x 82 cm),블랙,NULL,PVC,NULL,NULL,NULL,NULL
193,253,184634,"올리빙 올리체어 2p, 화이트",39900,83051861,True,66,4.0,160.0,False,올리빙,0,31.0,43 x 52 x 71 cm,화이트,NULL,PP,NULL,NULL,NULL,NULL
194,254,184634,"리에또 베이비 프리미엄 2인용 쇼파, 그레이(클라우드)",113000,65548459,True,18,5.0,262.0,False,리에또,0,67.0,NULL,NULL,NULL,PU (폴리우레탄),NULL,NULL,NULL,NULL
195,256,184634,"홈바디즈 초대형 빈백쇼파 1 2인용소파, LC905-오렌지 레드",149000,1635204011,False,37,5.0,70.0,False,,0,70.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,260,184634,"오에이데스크 나무원형의자, 월넛 OC002",9900,135145955,True,25,4.0,404.0,False,,0,77.0,NULL,그린,기타,NULL,NULL,등받이없음,NULL,NULL
197,261,184634,"회전의자 스툴 인테리어 진찰용의자 제도용의자 카운터의자 간이의자 보조의자 바퀴 보조의자 높낮이 조절 의자, 윙플러스-검정",42500,215262547,False,0,4.5,55.0,False,,착불배송,48.0,NULL,블랙,인조/천연가죽,NULL,NULL,등받이있음,NULL,NULL
198,263,184634,"애모씨오가구 엘레 의자, 화이트",28170,167799707,True,7,4.0,48.0,False,노아가구,0,25.0,NULL,화이트,플라스틱,NULL,NULL,등받이있음,NULL,내추럴
199,264,184634,"마켓비 MEKNAN 원형스툴 44, 다크브라운",14830,280803064,True,6,4.5,90.0,False,마켓비,0,41.0,NULL,브라운,우드,NULL,NULL,등받이없음,NULL,NULL
200,266,184634,"블루밍홈 젤리아의자, 화이트",17900,30508359,False,32,4.0,1299.0,False,블루밍홈,0,122.0,470 x 400 x 820 mm,화이트,NULL,원목 + PP,NULL,NULL,NULL,NULL
201,267,184634,"티렉스캐스터 고급형 플라스틱 우레탄 의자바퀴 G1020-2 5p, 혼합색상",9000,1573623768,False,0,4.5,7.0,False,티렉스캐스터,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,268,184634,"라미아까사 오토만 스툴 큐브형, 블랙",10900,5951773,True,15,4.5,1710.0,False,,0,208.0,NULL,블랙,NULL,인조가죽,NULL,NULL,NULL,NULL
203,269,184634,"포암체어 2p, 블루",55780,1553135216,True,0,5.0,15.0,False,노아가구,0,15.0,NULL,블루,플라스틱,NULL,NULL,등받이있음,NULL,모던/심플
204,272,184634,"코시나 LEKKI 커버분리형 6단 좌식소파, 다크그레이",58510,4322666090,True,1,5.0,13.0,False,코시나,0,13.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,273,184634,"팬물산 스너그 타원 좌식의자, 블랙",17900,19316637,True,40,4.5,709.0,False,팬물산,0,305.0,36.5 x 45 x 41.5 cm,블랙,NULL,스펀지,NULL,NULL,NULL,NULL
206,274,184634,"21세기트랜드 로라 등무 작업의자 009B, 블랙",28500,2034128053,False,42,4.5,14.0,False,21세기트랜드,0,15.0,400 x 400 x 450~610 mm,블랙,NULL,철제,NULL,NULL,NULL,NULL
207,275,184634,"오에이데스크 반달 의자, 블랙",12820,132814417,True,42,4.0,152.0,False,,0,45.0,NULL,블랙,NULL,NULL,팔걸이없음,등받이있음,NULL,NULL
208,278,184634,"한샘 간편 폴딩 스툴, 다크그레이",10900,197351457,False,0,4.5,127.0,False,한샘,0,61.0,가로 29cm X 세로 22cm X 높이 32cm,그레이,NULL,PP,NULL,NULL,NULL,NULL
209,279,184634,"21세기트랜드 패밀리 체어, 화이트",29800,4784950994,True,0,4.0,13.0,False,21세기트랜드,0,13.0,NULL,화이트,NULL,NULL,팔걸이없음,등받이있음,식탁의자,모던/심플
210,280,184634,"픽차 다용도 접이식 의자, 블랙",19400,1321996503,True,0,4.5,29.0,False,,0,20.0,NULL,NULL,우드,NULL,NULL,등받이있음,접이식의자,NULL
211,281,184634,"지엠퍼니처 멜리사 인테리어 골드벨벳 카페 화장대 식탁 의자, 멜리사 골드벨벳 핑크",33900,1164561336,False,38,4.5,29.0,False,지엠퍼니처,착불배송,29.0,NULL,NULL,기타,NULL,NULL,등받이있음,NULL,NULL
212,282,184634,"에코DIY 원목 미니스툴 250, 네츄럴",12800,1611562,True,3,4.5,86.0,False,,0,50.0,NULL,베이지,우드,원목,NULL,NULL,NULL,내추럴
213,283,184634,"라임 원목 원형 스툴 화장대 의자, 그레이",8900,5185114652,False,52,5.0,5.0,False,레트로하우스,"3,000",5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,284,184634,"오에이데스크 프리미엄 브로몰딩 접이식 벤치, 브라운",37320,51410415,True,44,5.0,89.0,False,,0,43.0,183 x 28 x 44 cm,브라운,NULL,철제,NULL,NULL,벤치형의자,NULL
215,285,184634,"칠나무 유아 캐릭터 소파 1인용 접이식 아동 소파 MX0728-1, 그레이（토토로）",17580,1885671611,False,33,4.5,72.0,False,,0,72.0,NULL,그레이,NULL,NULL,NULL,NULL,NULL,NULL
216,286,184634,"화장대 캣슬립 스툴하우스, 차콜",27900,344563821,False,52,4.5,55.0,False,파로마,0,51.0,NULL,그레이,패브릭,NULL,NULL,등받이없음,NULL,NULL
217,287,184634,"유로39번 라탄 야외의자(4개), 유로39번 라탄 야외의자(2+2)-월넛",98900,68147015,False,28,4.5,20.0,False,위드퍼니처,0,13.0,NULL,NULL,NULL,라탄,NULL,NULL,NULL,NULL
218,289,184634,"더준 원목 스툴의자 스툴, 베이지",11100,169326628,False,15,4.0,42.0,False,더준,"3,000",17.0,NULL,베이지,패브릭,NULL,NULL,등받이없음,NULL,로맨틱
219,290,184634,"(주)에이치케이퍼니처 HK-009 등무 작업의자, HK-009 등무 작업다리형 /로라-아이보리",27900,120038616,False,0,4.5,51.0,False,,"4,000",37.0,NULL,베이지,인조/천연가죽,인조가죽,NULL,NULL,NULL,NULL
220,291,184634,"THE 튼튼한 접이식 의자 야외 행사의자, 화이트",13500,1495947669,False,0,4.5,9.0,False,,"6,600",7.0,NULL,NULL,NULL,NULL,팔걸이없음,NULL,NULL,북유럽
221,292,184634,"접이식 발판 겸 의자 스텝스툴 그린 앤 퍼플 6종, 1. 그린 소형 27cm",13800,1957350935,False,0,4.0,11.0,False,,0,11.0,NULL,NULL,,PP소재,NULL,NULL,NULL,NULL
222,293,184634,"팬물산 스너그 오구 좌식의자, 오크",15900,19316630,True,36,4.0,290.0,False,팬물산,0,98.0,37 x 48 x 42 cm,베이지,NULL,스펀지,NULL,NULL,NULL,NULL
223,294,184634,아기 식탁 의자 어린이 원목 접이식 식탁,69000,71245695,False,0,4.5,143.0,False,,"2,500",15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,295,184634,"제우스가구 DIY 1인용 의자, 화이트",23000,37756781,True,0,4.5,356.0,False,,0,74.0,400 x 400 x 470 mm,화이트,NULL,합성목재,NULL,NULL,NULL,NULL
225,296,184634,"북유럽 골드 철제 화장대 의자 스툴, 골드프레임/화이트쿠션",22400,1302618175,False,0,4.0,10.0,False,,0,10.0,ONE SIZE,화이트,NULL,NULL,NULL,등받이없음,NULL,NULL
226,297,184634,"오에이데스크 인테리어 의자 OD184, 그레이",44900,2285536420,True,0,4.5,46.0,False,,0,46.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,298,184634,"LINU 리누 꿀바른 빈백 대형 1인 쇼파 북유럽스타일, 민트",87900,4322773169,False,41,4.5,51.0,False,,0,51.0,NULL,그린,패브릭,패브릭,NULL,NULL,NULL,모던/심플
228,299,184634,"로제까사 릴렉스 접이식 안락의자, 카키그레이",69900,52875555,False,29,4.5,459.0,False,로제까사,0,36.0,720 x 850 x 1020 mm,그린,NULL,패브릭,NULL,NULL,NULL,NULL
229,300,184634,"야마토야 뉴스쿠스쿠 플러스 전용 쿠션, 핑크레인",20800,187594168,True,25,4.5,77.0,False,야마토야,0,41.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,301,184634,"지오리빙 원형 플라스틱 라탄 의자, 블랙",4490,4867367501,False,0,4.5,6.0,False,,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,302,184634,"와이디 피아노 쿠션 벤치 의자, 피아노벤치의자_와인(YWC2085-WI)",27990,175060463,False,0,4.5,52.0,False,와이디,착불배송,39.0,NULL,레드,인조/천연가죽,NULL,NULL,등받이없음,벤치형의자,클래식/엔틱
232,304,184634,"지퍼니처 플라스틱 야외의자, 등받이의자(그레이)",8900,23755350,False,0,4.0,76.0,False,지퍼니처,착불배송,1.0,47 x 50 x 80cm,그레이,NULL,플라스틱,NULL,NULL,NULL,NULL
233,305,184634,"체어아울렛 카페의자 철제의자 식탁의자 업소용의자, 03.엠보체어-블랙",15400,196608086,False,0,4.5,49.0,False,,착불배송,35.0,NULL,NULL,NULL,철제,팔걸이없음,NULL,식탁의자,NULL
234,306,184634,"에이스독서대 기도의자, 메이플",12500,4735554097,True,0,5.0,9.0,False,에이스독서대,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,307,184634,홈스몰 고무나무 사각스툴 소형,14860,9551212,True,0,4.5,460.0,False,,0,71.0,29 x 29 x 45 cm,베이지,NULL,원목,NULL,NULL,NULL,NULL
236,308,184634,"가구느낌 PU앨리골드 화장대 보조 벨벳 원형 사각 스툴, 베이지",30580,4394912423,True,0,4.5,11.0,False,가구느낌,0,8.0,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,NULL,NULL
237,309,184634,"주식회사 와이디 아르노 메쉬의자, 그린",25900,3387065,False,0,4.0,81.0,False,와이디,착불배송,11.0,455 x 415 x 790mm,그린,메쉬,NULL,NULL,NULL,사무용의자,NULL
238,310,184634,"레브가구 루나 원목 화장대의자 스툴 보조의자, 내추럴",26800,1541229223,False,15,5.0,13.0,False,,0,13.0,NULL,NULL,인조/천연가죽,NULL,팔걸이없음,등받이없음,스툴/화장대의자,NULL
239,312,184634,"가팡 스툴의자 STOOL00104, 원목색",15420,1620213694,True,0,4.0,9.0,False,,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,313,184634,"퍼니아트 화장대의자 겸 협탁 서랍형, 화이트",32800,1232483,False,0,4.0,185.0,False,,,29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,314,184634,"야마토야 뉴마터나 플러스 트레이 유아식탁의자, 내츄럴",208900,25770562,True,40,4.5,45.0,False,야마토야,0,20.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,315,184634,"오에이데스크 고정식 크롬쿠션의자 OD014, 아이보리",21240,146708501,True,24,4.0,251.0,False,,0,55.0,80 x 39 x 41 cm,화이트,NULL,PVC,NULL,NULL,NULL,NULL
243,316,184634,"앉은뱅이 청소 작업 의자, 검정",33370,335065423,True,0,4.5,33.0,False,,0,33.0,NULL,블랙,인조/천연가죽,NULL,NULL,등받이있음,NULL,NULL
244,317,184634,"JNC 바른 엔젤 체어2 1+1+1 레드2+블랙1/레드1+블랙2/블랙3/레드3/민트3/핑크3, 엔젤체어2(레드2+블랙1)",99000,4970810621,False,0,5.0,21.0,False,JNC,0,21.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,318,184634,"이케아 아기 식탁의자 ANTILOP 식당 하이체어, 03.핑크의자+화이트트레이",21500,51785209,False,0,4.5,157.0,False,이케아,"9,900",47.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,319,184634,"밸런스체어 냉온찜질기능 체형보정 바른자세 허리보정 좌식의자, 블랙",27900,5057432113,False,44,4.0,29.0,False,듀얼,"3,000",29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,320,184634,"세이지폴 컴포트 유아소파, 프렌치그레이",85970,193510377,True,2,4.5,47.0,False,세이지폴,0,21.0,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,기타,키즈/캐릭터
248,321,184634,"(주말행사)밸런스체어 냉온찜질기능 체형보정 바른자세 허리보정 좌식의자, 핑크 그레이, 블랙",27900,5180624218,False,44,4.0,64.0,False,,"3,000",64.0,NULL,NULL,NULL,NULL,NULL,NULL,좌식의자,NULL
249,322,184634,"도리퍼니처 디올벤치 블랙 2인 의자, 우드",34230,2022424989,True,6,4.0,59.0,False,도리퍼니처,0,41.0,NULL,우드,우드,NULL,NULL,NULL,NULL,NULL
250,326,184634,"아가드 토스비 아기 식탁의자 하이체어 버튼형, 크림화이트",170000,4589843284,False,0,5.0,14.0,False,아가드,0,15.0,NULL,NULL,NULL,NULL,NULL,NULL,아동용의자,NULL
251,329,184634,"폴리몰리 소파 빈백 +풋스툴 세트 607C, 차콜",305000,4317085206,False,0,5.0,84.0,False,폴리몰리,"2,500",23.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,330,184634,"오에이데스크 인테리어 테이블 A OT035, 화이트",25430,2285536400,True,1,5.0,39.0,False,,0,40.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,331,184634,"TREE 스툴스 타원 접이식 의자 S, 퍼플",6230,277045641,True,10,4.0,107.0,False,,0,79.0,NULL,NULL,플라스틱,NULL,NULL,등받이없음,접이식의자,NULL
254,332,184634,"이케아 ANTILOP 유아 식탁의자용 식판, 화이트",6900,762337,False,0,4.5,43.0,False,이케아,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,334,184634,"까사마루 노블레 벨벳 접이식 의자, 그린 + 블랙",26900,1291481914,True,0,4.0,142.0,False,까사마루,0,101.0,NULL,그린,기타,NULL,NULL,등받이있음,NULL,NULL
