,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,인테리어,방식,각도조절
277,368,184624,"◆The커넥트T006◆MISOGA 로보 나파가죽 코너형 리클라이너 소파 ◆제품번호4I73m f*Z:d, 고맙습니다 본상품선택, 고맙습니다 본상품선택",2468800,5566283321,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,369,184624,"임스 라운지 체어 1인용 리클라이너 의자 북유럽 소파 레져 침실 거실 발코니 게으른 달팽, 07 연청",1724400,4738220663,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,370,184624,1인용 리클라이너 쇼파 밀폐침대 1인용 낮잠 사무실 낮잠자리 _188,164500,5069623709,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,371,184624,"홈쇼핑 1인용 의자 쇼파 바르셀로나 리클라이너 벤치형 내박한 안락의자 소파, 16 네이비+편안한 발걸이",174580,4328418132,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,372,184624,"리클라이너의자 여름 누울수있는의자 접이식 낮잠의자 비치체어 대나무의자 휴대용 베란다 등받이의자, T07-마작 대나무의자 나무손잡이 SH804",78600,5522745467,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,373,184624,"1인용리클라이너 소파 1인의자 자취생 팔걸이 침대 위의자는 접을 수 있어 기숙사 컴퓨터의, 21 길이를 늘리고 손잡이를 넓힌 아이스벨벳",161000,5525908413,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,374,184624,"무중력의자 와이드 4단 각도 접이식침대 와 베개, 감성_센시요2TEXTILENE",54900,1522385982,False,26,,,False,무중력의자,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,375,184624,"달팽이 1인용 쇼파 소파 리클라이너 패브릭 1인 베드 101158, AC",798800,5591193056,False,0,,,False,,"9,900",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,376,184624,무중력의자 국내 최초 상표등록된 무중력 마약의자 BC 리클라이너,49900,88788707,False,16,4.0,2.0,False,무중력의자,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,377,184624,"수유 독서 원룸 안락 1인용 리클라이너 접는 슬립온 소파 메쉬 레드 싱글 다다미 침실 발, 21 핑크 라지",357600,5482276063,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,378,184624,"1인용리클라이너 휴식 수유 흔들 안락함 게으른 소파 그물 빨간 의자 침실 등받이 1인용, 06 업스트림 블루+페더",343680,4686373677,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,379,184624,"푹신한리클라이너소파 페브릭 가죽 눕체 독신 1인 싱글 리클라이너의자 183, 핑크 플란넬",400800,5369214904,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,380,184624,"1인용쇼파 홈쇼핑 홍대가구 리클라이너 수유의자 맞춤 제작하다 슬롯의자 미식 단인 소파, 오류 발생시 문의 ( 이소상점 )",222000,4786795577,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,381,184624,"리클라이너의자 메쉬 레드 슬립온 소파 등받이 의자 1인용 침실 침대 발코니 작은, 오류 발생시 문의 ( 엠디리얼티5 )",621600,5233724034,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,382,184624,"1인 좌식 리클라이너 소파 쇼파 원룸꾸미기 슬립온 다다미 1인용 베란다 캐주얼 등받이, 10 A타입그레이[발싸개]",768130,4677314242,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,383,184624,"1인용 리클라이너 쇼파 나일론 비치 의자 접이식 침대 점심시간 경제형 레드 다이아몬드, 07 부품:나일론 레드",125650,5478400234,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,384,184624,"하이따거 뽀글이 귀여운 리클라이너 좌식소파 베드 인테리어, 고급형뽀글이 카키",68800,2305052718,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,385,184624,"리클라이너의자 접이식의자 휴대용 가정용 식탁의자 스툴의자 등받이의자 훈련의자 학생기숙사 의사심플 컴퓨터의자 둥근의자, T14-표면 의자의 빨간색",42300,5522561458,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,386,184624,"제조업자 발마사지 전동 네일숍 족욕을 함 페디큐어 발을씻다 잠을 자다 뷰티, 전동 타입 라이트그레이 색깔",381400,4503763031,False,44,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,387,184624,"다이닝 휴식 수면 암체어 벤치 접이식 두께 보강형 오피스 조절 가능 점심시간 알루미늄, 01 실버 파이프 칠단 의자",196930,5466263301,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,388,184624,"패브릭 좌식 무중력 리클라이너소파 1등 우주선 소파 1인 흔들 전동 네일 게으름뱅이 사무, 16 카키(헤드 진피), 01 수동 착석식 눕방금",1957400,5549267572,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,389,184624,"1인용리클라이너 소파 1인의자 자취생 소파망 홍다미호박 의자 여자 사랑스런 침실 1인 등, 07 귤색",184700,5526034577,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,390,184624,"DIPYLON 미용소파 풋치료 소파 테이블 심플 이렇게 경제적인 네일 모서리 마사지 욕장 미용 중간 족욕 티, 베이직 2호 유리면 USB 티슈 케이스 패널",113800,5585038338,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,391,184624,"리클라이너의자 배송비포함 사무실의자 컴퓨터의자 오후휴식 낮잠 등받이의자 접이식의자 가정용 다용도 조절가능 누울수있는의자, T05-D사무 접이식의자(조절가능 각도)",106100,2008250074,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
301,392,184624,"다용도 수납용 귀비 의자 소파 나노 워시 오프 테크놀로지의 거실 거실 캐주얼 패브릭 귀부 의자, 사양]",2816000,4348751484,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,393,184624,"1인용 리클라이너 쇼파 접이식 벤치 낮잠자리 등받이 등나무 의자 다용도 사무실 베란다, 23 굵은 사각관(합금 잠금) 스트라이프 그",217720,5478399920,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,394,184624,"스트레스리스 매직 메이페어 리클라이너 htl 오피스 stressless, 패브릭세트",136000,5495456952,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,395,184624,"야외 일광욕 안락 쿠션 정원 가구 파티오 책상 안락 의자 노인을위한 허리 통증 완화 패드, 밝은 회색, 40 센치 메터 X135 센치 메터",49300,5566350895,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
305,396,184624,"리클라이너의자 진열대 노점 스낵 대형 휴대용 식당 국수집 식탁의자 회의 양성 책상, T03-직사각형 80CM넓이 60CM높이 75CM정교한",45800,5115897961,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
306,397,184624,"1인용리클라이너 독일리클라이너 라운지 좌석 좌석 통기성 캠핑 침대 제로 클라우드 딱딱한 모듈 1인용 기절 반달 일인 쇼파 소파 바르셀로나 수유 무중력 1인용 안락 의자 윙체어, CCOLOR14",413800,5198274895,False,6,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307,398,184624,"한샘(가구) 한샘 휴 조이 회전틸팅형 좌식 리클라이너 소파, 휴조이 틸팅형 좌식리클라이너",97780,4389458424,False,1,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
308,399,184624,"업그레이드 KPP무중력의자, NEW_광폭KPP11000",104900,207332356,False,8,,,False,무중력의자,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
309,401,184624,"스트레스리스소파 제인 오귀비 의자 발코니 눕방 소파 유럽식 태비의자 진피미인 침대 침실 싱글 미국식 귀부 의자, 01 [이태리 수입 소가죽] 귀비의자 190",2127500,5227010073,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310,402,184624,"리클라이너의자 보강 접이식 낮은의자 스툴 야영용 의자 패브릭아트 휴대 낚시 노점진열대 국다용도 야외낚시, T20-스몰사이즈 미니 색상랜덤",24700,1949131585,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311,403,184624,"침대 소파 전동 족욕을 함 발을담그다 잠을 자다 귀파개, 레드 전동",601800,5438408912,False,46,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312,404,184624,"1인 게이밍리클라이너 4인용 우판아트 베네치아 이태리식 경사진피 소파 다목적 전동식, 05 삼인위 전동식 (리얼 가죽), 01 기타",14508000,5268408050,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
313,405,184624,"1인용 리클라이너 쇼파 야외 접이식 의자 휴대용 등받이 낮잠자_26, 07 블루전포 꼬임 베개+주머니",76750,5069649481,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
314,406,184624,"1인용 리클라이너 쇼파 다층 접이식 침대 사무실 점심 1인 낮잠 신기 동반 행군용 침대 간, 07 모던그레이+스킨베이지블랙쿠션가로세로68",99750,5062447013,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,407,184624,"리클라이너의자 컴퓨터의자 나무의자 등받이의자 접이식의자 편리한 화장대 스틸아트원목 의사휴대용 거실 날실, T12-화이트수납대 화이트 아동의자(등받이O)",39900,5522572566,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,408,184624,"선물 좌식 쇼파 자주 소파 다리없는 낮은 편한 1 2 인 용 자취방 의자, 3",38300,5222480076,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,409,184624,"리클라이너의자 2021접이식의자 PU가죽면 의자스툴 등받이 스툴의자 스툴가정용 식탁의자 휴대용 기숙사의자 양, T11-블루색 화이트안경다리 등받이의자",33900,5522600038,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,410,184624,"낮잠 안락의자 리클라이너 슬립온 소파 의자 모던 심플 라운지 1인용 발코니 캐주얼, 22 다크 그레이 벨벳 03 3종 세트",269800,4751588758,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
319,411,184624,"족욕 네일아트 사우나 스파 슈나우져미용 캐쥬얼 안락의자, 블랙 포도 보라색 수동 쓰리",272400,5531606475,False,36,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
320,412,184624,"1인용 리클라이너 쇼파 벤치발코니 가정용 캐주얼 대나무 의자 접이식 점심 의자 게으른 사람, 10 원색 발걸이 눕방+와인 방석",134500,5064455442,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
321,413,184624,"수유 독서 원룸 안락 1인용 리클라이너 스페이스 퍼스트 클래스 모래발전용 진피항공 흔들의, 01 수동 스트레칭 [고급 나노피], 01 일인",1019400,5482256207,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
322,414,184624,"1인용리클라이너 북유럽의 게으른 소파 침대 옆 접이 1인용 아기 의자 사랑스런 여자 침실 발코니 침대 다다미, 07 네이비 소파+발목",266060,4592321621,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,415,184624,"패디의자 1인 리클라이너 네일샵 가구 의자 북유럽 그물 빨간색 작은 인 라이트 럭셔리, 짙은 회색",478500,5465866093,False,13,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
324,416,184624,"리클라이너의자 접이식스툴의자 원형의자 접이식 휴대용 여행 심플 스툴의자 가정용 공간절약 플라스틱 휴대 의자, T09-카드뮴 연록(라지)(하중 80KG둥글고매끄러운",29300,5522641415,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,417,184624,"해외 보니타 빈백 폴딩 침대형 m 일 탑 일인용 등받이 의자 소파 의자 침대리클라이너 이클라이너 소파 예쁜소파 1인용소파-15526, 옵션01, 단일옵션",9800,4998862567,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,418,184624,"1인용 리클라이너 모듈 소파 안마 퀴이메이 홈 오리지널 포옹 흔들의자 캐주얼 캐치프레이즈, 17 정품 그레이 프린트에 도톰한 나무 테두",293400,5508916596,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,419,184624,"1인용리클라이너 소파 1인의자 자취생 거실 침실 창가 다다미 등받이의자 가정용 수유망 레, 07 코발트블루",136400,5530400897,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
328,420,184624,"리클라이너의자 접이식침대 싱글침대 가정용 브레이크타임 매직기기 사무실 낮잠 침대보조 심플 행군침대 다용도 누울수있는의자, T04-표준판(팔각 침대)옥스포드천+벌집 면패드",108200,5576571336,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,421,184624,"나혼자산다 북유럽 아늑한 1인용 2인용 리클라이너 좌식소파 접이식 각도조절, 도톰 핑크",99600,5560981156,False,51,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,422,184624,"1인 리클라이너 아쿠아 클린 텍스 물소가죽 사하라 조약돌 쇼파 신발 바꿔 신는 패션 아이, 12 연분 하이",362360,5383180746,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
331,423,184624,"북유럽 인테리어 리클라이너 소파 1인용 수동 침대형 쇼파, AL",831700,5575931297,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
332,424,184624,"1인용 리클라이너 쇼파 접이식 의자 가정용 침실 여름 사무실 _278, 05 럭셔리 폴딩 백 벤치(조절 가능) 그레",159000,5071425212,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,425,184624,"DIPYLON 미용소파 누울 수 있는 네일 소파 풋샤워 네일숍 의자, 바이올렛 수동 트리오+네일보드+베개 5종",194300,5585040631,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334,426,184624,"무중력의자® OCT 와이드형OCT 리클라이너 접이식체어 간이의자 1인용체어, 실버",99900,5421849841,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,427,184624,"1인용 리클라이너 쇼파 의자 1인가구 패브릭 일인용 모던 리크라이너 소파 원룸, N",174900,5353863244,False,51,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,428,184624,"리클라이너의자 접이식의자 침대겸용 싱글 낮잠침대 다용도 가정용 누울수있는의자 접이식 사무실 성인 간호 낮잠 침대, T04-J30-(원형파이프 보강한)그레이 침대+주인공",58100,5576488523,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,429,184624,"리클라이너의자 공장 도매 접이식테이블 식탁 가정용 작은테이블 밥상 심플 소형차 접이식테이블과의자 휴대용 노상테이블, T25-핑크 80*80*75cm",45700,5576350784,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
338,430,184624,"리클라이너의자 편의접기 테이블의자 조합 휴대용, T02-60화이트 원형테이블+2의자",57800,5522743059,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,431,184624,"리클라이너의자 공장 직판 실목 접이식의자 가정용 등, T04-원목색 선반 mdash",219900,5143402213,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
340,432,184624,"침대형소파 사무용의자 침대의자 편안한의자 침대형 고급 리클라이너000023586, 01 베이지색 45CM 높이(표준 컴퓨터 의, 01 원목 발, 01 고정 손잡이",384650,5227255472,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
341,433,184624,"제조업자 전동 슈나우져미용 안락의자 욕실용실 목욕놀이장 캐쥬얼 사우나 발을씻다 족욕을 함 마사지, SS03-[ 스타일리시 -750- 좌",562200,5396495354,False,40,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,434,184624,"리클라이너의자 공장 심플 스툴의자 등받이의자 가정용 접이식의자 사무실의자/회의용의자 컴퓨터의자 좌식의자 훈련의자/, T15-업그레이드 보강한 이중 스펀지 화이트안경다리 블",39000,5522602674,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343,435,184624,"[동서가구]컨셉트1271 모던2인용 소파 DF626329, 아이보리",179550,125630208,False,7,5.0,1.0,False,동서가구,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
344,436,184624,"리클라이너의자 실목 비치체어 나무재질 누울수있는의자 접이식의자 캔버스 낮잠의자 의자야외 휴대용의자 간호 의자 아동의자, T26-원목색",53900,5522672292,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,437,184624,"1인용 리클라이너 쇼파 접이식 벤치 대나무 흔들의자 성인 낮잠_229, 18 [신규 확장] 흔들의자+퍼플 롱매트",114500,5071436702,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
346,438,184624,"리클라이너 의자 1인용 소파베드 1인리클라이너 라일락 점심 접이식 침대 1인용 사무실 낮잠자리 병원 간호대, 옵션19",386940,4527611644,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
347,439,184624,"뉴 아메리칸 라이트 스타일로 모던한 식탁의자 콤보 항식 신고전극 심플 스텐레스 밥상, 04 식탁 의자 여섯 개",1735000,4335856694,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
348,440,184624,"패브릭 좌식 무중력 리클라이너소파 한키 전기 소파 다목적 이태리 미니멀 리얼 가죽, 01 [마틴나파피 수입] 1인승 1전동, 01 조합하다",7868000,5549307357,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349,441,184624,"모던 리클라이너 무인 아쿠아 코스트코 양품 텍스 장인 1인 2인 좌식 가구 소파 59, 파란색 줄무늬 표준, 단단한 나무 발, 고정 팔걸이",130300,5225102866,False,45,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
350,442,184624,"1인용쇼파 홈쇼핑 홍대가구 리클라이너 수유의자 슬립온 소파 다다미 1인 소파 일식 접이식 소파 베드 벤치, 31 다크브라운/M/L",214500,4786801195,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
351,443,184624,"리클라이너의자 통용 화장실의자 좌 편리한의자, T08-오렌지색 의자-38m-Q34",61000,2174864927,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
352,444,184624,"1인용 리클라이너 수유 쇼파 안락의자, 그레이",308500,4382583959,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
353,445,184624,"1인용 리클라이너 다이닝 모유 수유 접이식 쇼파 원룸 디자인 패브릭 편안한 독서 소파, 30cm 다크그레이",84300,5096153449,False,60,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,446,184624,"DIPYLON 미용소파 풋살 티 테이블 모서리 경제적인 사우나 안마시술소 족욕 세척 네일아트 쇼파, 레드 일반 모조 대리석 무늬 티슈 케이스 US",117700,5585035373,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,447,184624,"리클라이너의자 누울수있는의자 접이식 브레이크타임 낮잠 등나무의자 베란다 레저 등받이의자 쇼파 휴대용 가정용 야외의자, T33-두께강화 사각파이프(럭셔리타입)체크+대나무문발",77100,5522815580,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,448,184624,"1인용 리클라이너 쇼파 맥미월의자 태양의자 레이다의자 접이식 _225, 03 [은관]대홍",64750,5071526641,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,449,184624,"리클라이너의자 북유럽스타일의 원목의자 배색 식탁의자 모던 심플 가정용 서재 상담의자 소프트 노트북가방, T04-삼베--오렌지색 호두 발",82700,1580764164,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,450,184624,"침대형소파 사무용의자 침대의자 편안한의자 침대형 고급 리클라이너 사무용의000018955, 01 고정 손잡이, 01 강철로 만든 발, 01 고정 손잡이",675150,5207666034,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
359,451,184624,"코스트코 무지 1인 리클라이너 소파 수유 의자 게으른 소파 콩 가방 EPP 싱글 안락, 편안한 오색 80cm 100cm 기본 감청색 기",177700,4817583951,False,49,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360,452,184624,"MISOGA 베로나 에어레더 4인용 리클라이너 소파, 단품",1497200,4882793364,False,5,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
361,453,184624,"1인용 리클라이너 쇼파 bb, 13 2020년 클래식 보석 블루[세트1]",512000,5063211663,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
362,454,184624,"모유수유 편한 1인용리클라이너 안락의자 원룸 릴렉스, 표준 모델 블루 [높이 43CM]",136100,4570638703,False,0,,,False,,"20,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
363,455,184624,"1인용 리클라이너 쇼파 흔들의자 어른 낮잠자리 접이식 대나무 _299, 03 누운 의자[긴 네이비 방석 챙기기",189000,5071451559,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
364,457,184624,"1인리클라이너소파 유럽식 소파에 달린 소가죽 꼬임 샴페인 골드 소파 통나무 조각화 L형 빌라 럭셔리 가구, 01 13귀비조합, 01 기타",16000000,4549972505,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
365,458,184624,"1인용 리클라이너 쇼파 쾌락 접이식 침대 사무실 낮잠 1인용 _74, 11 편관직흑조이절상",139750,5071716145,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
366,459,184624,"스트레스리스리클라이너 무지리클라이너 발받침세트, 카키 + 발받침",229200,4707902325,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
367,460,184624,"리클라이너의자 누울수있는의자 접이식 오후휴식 싱글 접이식의자 사무실 여름 비치체어 낮잠 잠자는 수면의자 캔버스, T19-특가 업그레이드 천캐리어 색상랜덤",60800,1678552249,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
368,461,184624,"리클라이너의자 누울수있는의자 접이식 브레이크타임 수면의자 사무실 비치체어 성인 레저 등받이의자 여름 노인 가정용 자유로운 등나무의자, T16-존귀 환상을 타자 블루 6",104100,5522026019,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
369,462,184624,"1인 꿀잠의자 전동 리클라이너 소파 원룸꾸미기 전동 족욕 소파 발 손질 1인용 손세탁 리클라이너 발 마사지 침, 05 자주색",803000,4771452024,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
370,463,184624,"1인용 리클라이너 쇼파 성인용 벤치 접이식 점심 의자 사무실 낮잠 의자 게으른 사람 벤치, 14 청색멀티플렉서+쿠션",106250,5064284269,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
371,464,184624,"스트레스리스 리클라이너 1인용 쇼파 망홍색의 게으른 소파 다다미의자 침실 작은 큐트한 1인용 창문 접는 학생 침실 의자, 20 깡충깡충+빨간 담요",215800,4578242758,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
372,465,184624,"1 2 3 4인용 전동 리클라이너 쇼파 좌식 소파 수면의자 게으른 소파 간단한 작은, 베개없이 다리 없음",452000,5456003553,False,6,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
373,466,184624,"1인용 리클라이너 각도조절 탈부착 인테리어 소파 베란다 눕방 다다미 팔걸이 접이식 작은, 22 플렉서블+스노우치 돗자리 길이만큼 넓힘",130600,5297821445,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
374,467,184624,"리클라이너의자 의자 편한 오래앉음 누울수있는의자 겨울여름 겸용 달모양의자 귀차니즘의자 홑의자 가벼운사치 계란껍질 성인 접이식의자, T11-(탈부착가능 타입)딥레드",74600,5522698083,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
375,468,184624,"리클라이너의자 가정용 전세 테이블식 식탁 심플 테이블의자 노점 직사각형, T27-화이트색 탁자1개의자4개 아동의자 120*60",129600,5523004777,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,469,184624,"자이언트 무중력의자, ITEM1890",239000,237880171,False,0,,,False,무중력의자,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
377,470,184624,"SM직구 접이식 1인 리클리이너 의자 캠핑 낚시 발코니 야외, 2",99800,1246622214,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
378,471,184624,"1인 좌식 리클라이너 소파 쇼파 원룸꾸미기 쿠션 의자 컴퓨터 TV 접이식 의자일 수유 모, 14 스탠더드 커피",471680,4677309515,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,472,184624,"전동 안락의자 싱글 멀티 가볍게 사치한 스파 센터 휴식 침대 족욕 손톱, 있음 팔걸이가 달린 돈 와인레드 린넨",584900,5414474727,False,35,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
380,473,184624,"1인용 리클라이너 쇼파 접이식 침대 1인용 낮잠 사무실 가정용_109, 03 [한정 반값]업데이트 [편사각관]68C",94500,5069629848,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,474,184624,"리클라이너의자 접이식침대 싱글 초슬림 소형 높이 60오후 휴식 누울수있는의자 낮잠 성인 휴대용 가정용 캐주얼, T09-펀칭 침대헤드 100cm와이드두께 침대판 매트리",207500,5468802521,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
382,475,184624,"눕는의자 수면의자 접이식 리클라이너 낮잠자리 사무실 휴대용 베란다 비치 등받이 의자, 16 【썸머추천】넓이 굵은 파이프를 더해 시",454930,4589913386,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
383,476,184624,"홈쇼핑 1인용 의자 쇼파 바르셀로나 리클라이너 벤치형 보니타 빈백 폴딩 침대 작은, 01 블랙 체크",81920,4348091613,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,477,184624,"1인용 리클라이너 편안한 의자 쇼파 소파 안락 패브릭 베란다 가정의자 접이식 작은, 01 코튼 린넨 라이트(피규어 면으로 업그레",208340,4571833380,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
385,478,184624,"1인용 리클라이너 쇼파 여름 벤치 흔들의자 집에서는 낮잠 낮잠_283, 오류 발생시 문의 ( SUIHAN )",114750,5071424882,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
386,479,184624,"낚시의자 전지형 누울수있음 접이식 휴대용 다용도 낚시 의자, T10-블루색 표준 세트",115200,5061342544,False,0,,,False,,"7,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
